"gene.id"	"Mantel_p_12"	"Mantel_p_1"	"q.FDR"	"corrs"
"1"	"Mrpl15"	0.522477522477522	0.522477522477522	1	-0.0217079541013653
"2"	"Lypla1"	0.721278721278721	0.721278721278721	1	-0.0677253418964961
"3"	"Tcea1"	0.855144855144855	0.855144855144855	1	-0.1093218828987
"4"	"Atp6v1h"	0.343656343656344	0.343656343656344	1	0.0412970513496269
"5"	"Rb1cc1"	0.614385614385614	0.614385614385614	1	-0.0389367914798581
"6"	"Pcmtd1"	0.264735264735265	0.264735264735265	1	0.0541570053092738
"7"	"Rrs1"	0.63036963036963	0.63036963036963	1	-0.0452678846787634
"8"	"3110035E14Rik"	0.183816183816184	0.183816183816184	1	0.137190754261647
"9"	"Vcpip1"	0.418581418581419	0.418581418581419	1	0.00877529641222163
"10"	"1700034P13Rik"	0.322677322677323	0.322677322677323	1	0.0541542328607582
"11"	"Sgk3"	0.956043956043956	0.956043956043956	1	-0.165100109078589
"12"	"Mcmdc2"	0.362637362637363	0.362637362637363	1	0.0307098711290093
"13"	"Ppp1r42"	0.973026973026973	0.973026973026973	1	-0.182323578131531
"14"	"Cops5"	0.034965034965035	0.034965034965035	1	0.212745380084604
"15"	"Cspp1"	0.754245754245754	0.754245754245754	1	-0.0705298938278729
"16"	"Arfgef1"	0.873126873126873	0.873126873126873	1	-0.125499829944036
"17"	"Prex2"	0.521478521478521	0.521478521478521	1	-0.0178267223344444
"18"	"Gm17644"	0.483516483516484	0.483516483516484	1	-0.00970663019349974
"19"	"Slco5a1"	0.356643356643357	0.356643356643357	1	0.079059078727051
"20"	"Ncoa2"	0.899100899100899	0.899100899100899	1	-0.137012482701962
"21"	"Tram1"	0.468531468531469	0.468531468531469	1	-0.00227270423518507
"22"	"Gm5523"	0.361638361638362	0.361638361638362	1	0.025621453226191
"23"	"Eya1"	0.0629370629370629	0.0629370629370629	1	0.242990403734613
"24"	"Trpa1"	0.524475524475524	0.524475524475524	1	-0.00813843457484348
"25"	"Terf1"	0.549450549450549	0.549450549450549	1	-0.0189667772805727
"26"	"Rpl7"	0.34965034965035	0.34965034965035	1	0.0354714044629456
"27"	"Ube2w"	0.137862137862138	0.137862137862138	1	0.111297587344156
"28"	"Tceb1"	0.468531468531469	0.468531468531469	1	-0.00686977646009798
"29"	"D030040B21Rik"	0.689310689310689	0.689310689310689	1	-0.0976612148981218
"30"	"Tmem70"	0.979020979020979	0.979020979020979	1	-0.158901354783074
"31"	"Ly96"	0.678321678321678	0.678321678321678	1	-0.0556585224303912
"32"	"Mcm3"	0.854145854145854	0.854145854145854	1	-0.112377069363082
"33"	"Rims1"	0.32967032967033	0.32967032967033	1	0.079059078727051
"34"	"Ogfrl1"	0.904095904095904	0.904095904095904	1	-0.132565574289808
"35"	"B3gat2"	0.0859140859140859	0.0859140859140859	1	0.173452721977015
"36"	"Smap1"	0.222777222777223	0.222777222777223	1	0.0903226051953667
"37"	"Sdhaf4"	0.0759240759240759	0.0759240759240759	1	0.171075309417409
"38"	"Col19a1"	0.331668331668332	0.331668331668332	1	0.079059078727051
"39"	"Lmbrd1"	0.86013986013986	0.86013986013986	1	-0.115492608668729
"40"	"Phf3"	0.32967032967033	0.32967032967033	1	0.0261178638953474
"41"	"Ptp4a1"	0.562437562437562	0.562437562437562	1	-0.0317757544387012
"42"	"Gm13363"	0.656343656343656	0.656343656343656	1	-0.0488345964316726
"43"	"4931428L18Rik"	0.172827172827173	0.172827172827173	1	0.137190754261647
