"gene.id"	"ps"	"ps.FDR"	"corr.coef"
"1125"	"Mir3094"	0.115	1	0.145910505591837
"1126"	"Orm3"	0.126	1	0.145910505591837
"1127"	"Fggy"	0.133	1	0.145910505591837
"1128"	"0610043K17Rik"	0.116	1	0.145910505591837
"1129"	"Eif2b3"	0.118	1	0.145910505591837
"1130"	"Ccdc28b"	0.1	1	0.145910505591837
"1131"	"Per3"	0.117	1	0.145910505591837
"1132"	"Fam213b"	0.121	1	0.145910505591837
"1133"	"Rgs12"	0.132	1	0.145910505591837
"1134"	"Tesc"	0.117	1	0.145910505591837
"1135"	"Oas1b"	0.129	1	0.145910505591837
"1136"	"Adam1b"	0.113	1	0.145910505591837
"1137"	"Adam1a"	0.13	1	0.145910505591837
"1138"	"Tmem120b"	0.147	1	0.145910505591837
"1139"	"Slc12a9"	0.116	1	0.145910505591837
"1140"	"Mir25"	0.123	1	0.145910505591837
"1141"	"Tpk1"	0.135	1	0.145910505591837
"1142"	"Cracr2a"	0.115	1	0.145910505591837
"1143"	"Rps4l"	0.119	1	0.145910505591837
"1144"	"Zfp551"	0.146	1	0.145910505591837
"1145"	"Zfp526"	0.099	1	0.145910505591837
"1146"	"Ryr1"	0.121	1	0.145910505591837
"1147"	"Blm"	0.106	1	0.145910505591837
"1148"	"Nars2"	0.127	1	0.145910505591837
"1149"	"Gm26705"	0.137	1	0.145910505591837
"1150"	"Nlrp10"	0.114	1	0.145910505591837
"1151"	"Zfp768"	0.13	1	0.145910505591837
"1152"	"Ctbp2"	0.127	1	0.145910505591837
"1153"	"Slc20a2"	0.12	1	0.145910505591837
"1154"	"2700029M09Rik"	0.125	1	0.145910505591837
"1155"	"Cdh11"	0.119	1	0.145910505591837
"1156"	"B3gnt9"	0.113	1	0.145910505591837
"1157"	"Nol3"	0.122	1	0.145910505591837
"1158"	"4931428F04Rik"	0.112	1	0.145910505591837
"1159"	"Mphosph6"	0.111	1	0.145910505591837
"1160"	"Mir7079"	0.114	1	0.145910505591837
"1161"	"Col5a3"	0.107	1	0.145910505591837
"1162"	"Rec114"	0.116	1	0.145910505591837
"1163"	"Mei4"	0.131	1	0.145910505591837
"1164"	"Hemk1"	0.122	1	0.145910505591837
"1165"	"Hmgn5"	0.115	1	0.145910505591837
"1166"	"Klf8"	0.123	1	0.145910505591837
"1167"	"Fam210b"	0.124	1	0.145889710714796
"1168"	"Pum2"	0.112	1	0.145858236555209
"1169"	"4933432I03Rik"	0.081	1	0.145793014044075
"1170"	"Hmgb2"	0.063	1	0.145789800104957
"1171"	"Capn15"	0.076	1	0.145704445393494
"1172"	"Slc6a2"	0.116	1	0.145628924039206
"1173"	"Dlg1"	0.094	1	0.14562377003423
"1174"	"Slc25a25"	0.079	1	0.14560233459691
"1175"	"Map2k1"	0.084	1	0.145373610027703
"1176"	"Asna1"	0.138	1	0.145368651574378
"1177"	"Tbc1d24"	0.112	1	0.145159499219678
"1178"	"Ttc37"	0.118	1	0.145130238794864
"1179"	"Calr4"	0.12	1	0.145124588433107
"1180"	"Ctcf"	0.104	1	0.145002565072319
"1181"	"Cnnm4"	0.144	1	0.144995634777661
"1182"	"Mars2"	0.138	1	0.144995634777661
"1183"	"Nek8"	0.147	1	0.144995634777661
"1184"	"Gm11715"	0.131	1	0.144995634777661
"1185"	"Cbx5"	0.13	1	0.144995634777661
"1186"	"Fam189b"	0.126	1	0.144995634777661
"1187"	"Fam151a"	0.122	1	0.144995634777661
"1188"	"Zfp664"	0.13	1	0.144995634777661
"1189"	"Cebpd"	0.108	1	0.144639652385657
"1190"	"Ganab"	0.078	1	0.14462228059562
"1191"	"Nrbp1"	0.077	1	0.144541004521591
"1192"	"Kif3b"	0.078	1	0.144528470958756
"1193"	"2-Mar"	0.085	1	0.14441263860667
"1194"	"Arid4b"	0.074	1	0.144334183836463
"1195"	"Isoc1"	0.055	1	0.144279024375794
"1196"	"D17H6S56E-5"	0.08	1	0.144271356608311
"1197"	"Mocs2"	0.099	1	0.144144565721659
"1198"	"Extl3"	0.089	1	0.144093502114041
"1199"	"Mtrr"	0.096	1	0.143716293993323
"1200"	"Hrsp12"	0.111	1	0.143508671880955
"1201"	"Foxp1"	0.1	1	0.143465158827278
"1202"	"Slx1b"	0.079	1	0.143452306430806
"1203"	"Txndc5"	0.096	1	0.143413383169955
"1204"	"Ndufs8"	0.082	1	0.143381691041528
"1205"	"Zbtb17"	0.084	1	0.143305299605159
"1206"	"Cd81"	0.112	1	0.143199620219293
"1207"	"Rrm2"	0.097	1	0.143103280152477
"1208"	"Plk2"	0.108	1	0.143038272363155
"1209"	"Donson"	0.106	1	0.142838855539603
"1210"	"Acot2"	0.096	1	0.142727112633079
"1211"	"Tbcb"	0.078	1	0.142681285245951
"1212"	"Dpy30"	0.129	1	0.142049980116464
"1213"	"R3hdm1"	0.088	1	0.142040593872741
"1214"	"Ndfip2"	0.1	1	0.141989845645929
"1215"	"Pde4dip"	0.114	1	0.141977072738112
"1216"	"Ncstn"	0.104	1	0.141937403520512
"1217"	"Mir692-1"	0.119	1	0.141918802017724
"1218"	"H2-Q1"	0.088	1	0.141906397595535
"1219"	"Cct5"	0.095	1	0.141782601899218
"1220"	"Mlx"	0.114	1	0.141704796490994
"1221"	"Tmem2"	0.106	1	0.141682603844089
"1222"	"Gm10778"	0.113	1	0.141563319496875
"1223"	"Abcc9"	0.108	1	0.141525407370381
"1224"	"Tfdp2"	0.078	1	0.141453045269019
"1225"	"Cdkn2c"	0.124	1	0.141228773901075
"1226"	"Pdcd1lg2"	0.133	1	0.141211400451217
"1227"	"Rheb"	0.117	1	0.141201552447668
"1228"	"Ankrd10"	0.095	1	0.141189957899695
"1229"	"Fpgs"	0.07	1	0.141088123044699
"1230"	"Mogs"	0.106	1	0.141076321510091
"1231"	"Tspan2"	0.112	1	0.141065294444641
"1232"	"Snx6"	0.115	1	0.140907246805792
"1233"	"Tmem170b"	0.106	1	0.140869598987156
"1234"	"Med12"	0.087	1	0.140857719841308
"1235"	"Kcnrg"	0.131	1	0.140849890833028
"1236"	"Irak2"	0.106	1	0.140828708657604
"1237"	"Slc25a5"	0.111	1	0.140824668150359
"1238"	"Dusp2"	0.101	1	0.140784298714733
"1239"	"Hmces"	0.092	1	0.140740122134473
"1240"	"Itgav"	0.12	1	0.140738058792356
"1241"	"Kcmf1"	0.106	1	0.140704778234539
"1242"	"Zfp799"	0.087	1	0.140640594652311
"1243"	"Nupl1"	0.097	1	0.140593452361268
"1244"	"Hsd17b10"	0.114	1	0.14045795009435
"1245"	"4931440P22Rik"	0.125	1	0.140307780512781
"1246"	"Sms"	0.075	1	0.140156766536486
"1247"	"Tapt1"	0.102	1	0.13996436133489
"1248"	"Parp2"	0.101	1	0.139940507107651
"1249"	"5830428M24Rik"	0.136	1	0.139835939207027
"1250"	"Tarm1"	0.125	1	0.139671377984621
"1251"	"Tbc1d1"	0.081	1	0.139636928482913
"1252"	"Il4ra"	0.095	1	0.139601344966269
"1253"	"Zhx2"	0.107	1	0.139528346442604
"1254"	"Igsf8"	0.102	1	0.139524787603634
"1255"	"Hgs"	0.085	1	0.13942152624487
"1256"	"Zfp120"	0.114	1	0.139398770515963
"1257"	"Fndc3a"	0.094	1	0.139277100768172
"1258"	"Chil1"	0.089	1	0.139263393922046
"1259"	"Napa"	0.102	1	0.139229779261309
"1260"	"Gclc"	0.089	1	0.139150638978918
"1261"	"Pcbp3"	0.109	1	0.139049362867705
"1262"	"Kiz"	0.11	1	0.139049362867705
"1263"	"Zcchc7"	0.077	1	0.138893441771572
"1264"	"3110062M04Rik"	0.09	1	0.138760453195381
"1265"	"Arpp19"	0.104	1	0.138700687095691
"1266"	"BC020402"	0.135	1	0.138681667557228
"1267"	"Gltscr2"	0.115	1	0.138548448855928
"1268"	"Adgrv1"	0.104	1	0.13819224671668
"1269"	"Pura"	0.116	1	0.138140043316316
"1270"	"Morf4l2"	0.085	1	0.138102074056816
"1271"	"Ing3"	0.121	1	0.137996393940428
"1272"	"Mif"	0.118	1	0.137969591095622
"1273"	"Pbx2"	0.124	1	0.137874351449135
"1274"	"Cox4i1"	0.098	1	0.137810026714408
"1275"	"Glcci1"	0.111	1	0.137789414382662
"1276"	"Raly"	0.116	1	0.137714115589898
"1277"	"Ppwd1"	0.117	1	0.137640119275838
"1278"	"Cenpk"	0.116	1	0.137640119275838
"1279"	"Cops6"	0.084	1	0.137533250166058
"1280"	"Aplp2"	0.1	1	0.137483515895701
"1281"	"Ehmt1"	0.074	1	0.137423789684205
"1282"	"Mrps35"	0.114	1	0.13740492457568
"1283"	"Sort1"	0.091	1	0.137319414101246
"1284"	"Susd3"	0.091	1	0.137205695096846
"1285"	"3110035E14Rik"	0.172	1	0.137190754261647
"1286"	"4931428L18Rik"	0.161	1	0.137190754261647
"1287"	"Zap70"	0.182	1	0.137190754261647
"1288"	"Col4a3"	0.179	1	0.137190754261647
"1289"	"Snora75"	0.167	1	0.137190754261647
"1290"	"Ptpn4"	0.182	1	0.137190754261647
"1291"	"Zp3r"	0.183	1	0.137190754261647
"1292"	"Igsf9"	0.191	1	0.137190754261647
"1293"	"Mixl1"	0.199	1	0.137190754261647
"1294"	"Capn2"	0.19	1	0.137190754261647
"1295"	"Rgs17"	0.17	1	0.137190754261647
"1296"	"Trappc3l"	0.192	1	0.137190754261647
"1297"	"Lace1"	0.179	1	0.137190754261647
"1298"	"Nr2e1"	0.192	1	0.137190754261647
"1299"	"Olfr1352"	0.165	1	0.137190754261647
"1300"	"Sirt6"	0.198	1	0.137190754261647
"1301"	"Stab2"	0.184	1	0.137190754261647
"1302"	"Grip1"	0.175	1	0.137190754261647
"1303"	"Coq10a"	0.159	1	0.137190754261647
"1304"	"Gm10466"	0.154	1	0.137190754261647
"1305"	"5730522E02Rik"	0.191	1	0.137190754261647
"1306"	"Ccdc88a"	0.18	1	0.137190754261647
"1307"	"Timd2"	0.192	1	0.137190754261647
"1308"	"Pitpnm3"	0.181	1	0.137190754261647
"1309"	"Foxn1"	0.172	1	0.137190754261647
"1310"	"Mir21a"	0.172	1	0.137190754261647
"1311"	"Aanat"	0.165	1	0.137190754261647
"1312"	"Klf11"	0.169	1	0.137190754261647
"1313"	"Allc"	0.182	1	0.137190754261647
"1314"	"Kcnh5"	0.163	1	0.137190754261647
"1315"	"6720489N17Rik"	0.187	1	0.137190754261647
"1316"	"Polk"	0.181	1	0.137190754261647
"1317"	"Gm3002"	0.181	1	0.137190754261647
"1318"	"Colq"	0.188	1	0.137190754261647
"1319"	"Mapk8"	0.182	1	0.137190754261647
"1320"	"Haus4"	0.186	1	0.137190754261647
"1321"	"Rnaseh2b"	0.184	1	0.137190754261647
"1322"	"Snord72"	0.185	1	0.137190754261647
"1323"	"Tbrg3"	0.17	1	0.137190754261647
"1324"	"A330009N23Rik"	0.177	1	0.137190754261647
"1325"	"2610015P09Rik"	0.165	1	0.137190754261647
"1326"	"Plcxd2"	0.162	1	0.137190754261647
"1327"	"Cbr1"	0.187	1	0.137190754261647
"1328"	"Haghl"	0.187	1	0.137190754261647
"1329"	"C230072F16Rik"	0.184	1	0.137190754261647
"1330"	"Pcdhgb7"	0.191	1	0.137190754261647
"1331"	"Slc6a7"	0.157	1	0.137190754261647
"1332"	"Gpam"	0.175	1	0.137190754261647
"1333"	"Cacna1b"	0.173	1	0.137190754261647
"1334"	"Coq4"	0.176	1	0.137190754261647
"1335"	"Ncs1"	0.194	1	0.137190754261647
"1336"	"Tnik"	0.196	1	0.137190754261647
"1337"	"Glt28d2"	0.172	1	0.137190754261647
"1338"	"Gm4349"	0.189	1	0.137190754261647
"1339"	"Ciart"	0.175	1	0.137190754261647
"1340"	"Slc16a4"	0.184	1	0.137190754261647
"1341"	"Celsr2"	0.186	1	0.137190754261647
"1342"	"Mob3b"	0.169	1	0.137190754261647
"1343"	"Nppa"	0.188	1	0.137190754261647
"1344"	"Gtpbp10"	0.176	1	0.137190754261647
"1345"	"Abcb1a"	0.183	1	0.137190754261647
"1346"	"Zbtb49"	0.165	1	0.137190754261647
"1347"	"Zfp518b"	0.164	1	0.137190754261647
"1348"	"Gm7271"	0.191	1	0.137190754261647
"1349"	"A630023P12Rik"	0.202	1	0.137190754261647
"1350"	"Oas1g"	0.163	1	0.137190754261647
"1351"	"Bcl7a"	0.195	1	0.137190754261647
"1352"	"Snrnp35"	0.167	1	0.137190754261647
"1353"	"Gtf2h3"	0.153	1	0.137190754261647
"1354"	"Kpna7"	0.177	1	0.137190754261647
"1355"	"Vmn1r33"	0.168	1	0.137190754261647
"1356"	"Fgd5"	0.193	1	0.137190754261647
"1357"	"Fancd2"	0.185	1	0.137190754261647
"1358"	"4930557K07Rik"	0.179	1	0.137190754261647
"1359"	"Cd27"	0.148	1	0.137190754261647
"1360"	"Slco1a4"	0.185	1	0.137190754261647
"1361"	"Zfp667"	0.165	1	0.137190754261647
"1362"	"Zik1"	0.191	1	0.137190754261647
"1363"	"Zfp128"	0.176	1	0.137190754261647
"1364"	"Vmn1r184"	0.177	1	0.137190754261647
"1365"	"Nkg7"	0.173	1	0.137190754261647
"1366"	"Otog"	0.17	1	0.137190754261647
"1367"	"Ccdc81"	0.178	1	0.137190754261647
"1368"	"Sbf2"	0.163	1	0.137190754261647
"1369"	"Cyp2r1"	0.169	1	0.137190754261647
"1370"	"Gm10578"	0.183	1	0.137190754261647
"1371"	"Tubgcp2"	0.179	1	0.137190754261647
"1372"	"Mthfsd"	0.167	1	0.137190754261647
"1373"	"Pard3"	0.158	1	0.137190754261647
"1374"	"Kcnj1"	0.19	1	0.137190754261647
"1375"	"Hspb2"	0.19	1	0.137190754261647
"1376"	"Traip"	0.168	1	0.137190754261647
"1377"	"Fbxw26"	0.173	1	0.137190754261647
"1378"	"Ccr9"	0.169	1	0.137190754261647
"1379"	"Gria3"	0.162	1	0.137190754261647
"1380"	"Fhl1"	0.198	1	0.137190754261647
"1381"	"Xlr4a"	0.196	1	0.137190754261647
"1382"	"Igbp1"	0.183	1	0.137190754261647
"1383"	"Trmt2b"	0.17	1	0.137190754261647
"1384"	"Wnk3"	0.154	1	0.137190754261647
"1385"	"Ccr6"	0.085	1	0.136839599071445
"1386"	"Micu1"	0.116	1	0.136685751003393
"1387"	"Flii"	0.112	1	0.136627390226766
"1388"	"Socs1"	0.109	1	0.136528521410726
"1389"	"Gm12505"	0.091	1	0.136036133815437
"1390"	"Ube2l6"	0.118	1	0.135898840049273
"1391"	"Il20rb"	0.143	1	0.135820571876591
"1392"	"Smurf1"	0.117	1	0.135719112344747
"1393"	"Tectb"	0.12	1	0.135588582910901
"1394"	"Isg20"	0.115	1	0.135519216706892
"1395"	"Ntan1"	0.117	1	0.135443104415975
"1396"	"Hsph1"	0.093	1	0.135350508740199
"1397"	"Krtcap3"	0.161	1	0.135201212984357
"1398"	"Desi2"	0.12	1	0.135098706312853
"1399"	"Ears2"	0.107	1	0.134814682312776
"1400"	"Tesk1"	0.103	1	0.13480938006035
"1401"	"Rad18"	0.129	1	0.134771641703605
"1402"	"Prkch"	0.133	1	0.134768386740261
"1403"	"Slc4a8"	0.127	1	0.134590053854455
"1404"	"Stk17b"	0.095	1	0.134578223515206
"1405"	"Wdr83os"	0.08	1	0.13453550584652
"1406"	"Ptgr1"	0.08	1	0.134493577240847
"1407"	"Wwp1"	0.126	1	0.134478932324399
"1408"	"Srsf2"	0.145	1	0.134354753572074
"1409"	"Pin1"	0.114	1	0.134107644596031
"1410"	"Thoc2"	0.086	1	0.134015457164782
"1411"	"Clec1a"	0.12	1	0.133975884926819
"1412"	"Msl3"	0.09	1	0.133972784932423
"1413"	"Sec61a1"	0.097	1	0.133878000500322
"1414"	"Parp11"	0.141	1	0.133762469480347
"1415"	"Tmem140"	0.128	1	0.133643546510482
"1416"	"Mrgpra3"	0.12	1	0.133454459229668
"1417"	"Dnajb9"	0.114	1	0.133448541275666
"1418"	"Tomm34"	0.1	1	0.133340500831351
"1419"	"Rftn1"	0.121	1	0.133204190878639
"1420"	"Rpl26"	0.137	1	0.133139802242314
"1421"	"Gm15772"	0.122	1	0.133139802242314
"1422"	"Chordc1"	0.104	1	0.133138517493438
"1423"	"Sap30bp"	0.075	1	0.133085761734654
"1424"	"Mob1b"	0.115	1	0.133051289860139
"1425"	"Ost4"	0.11	1	0.132891032163111
"1426"	"Isca2"	0.097	1	0.132839620572556
"1427"	"Crtc2"	0.135	1	0.132610590910186
"1428"	"Dnmt3a"	0.14	1	0.132497649509923
"1429"	"Atp5k"	0.093	1	0.132495239249106
"1430"	"Pydc3"	0.114	1	0.132486401786775
"1431"	"Gba2"	0.114	1	0.132446482438382
"1432"	"Tut1"	0.11	1	0.132437296838815
"1433"	"Irf7"	0.111	1	0.132371960159286
"1434"	"Khdrbs1"	0.135	1	0.132360896458612
"1435"	"Zfp318"	0.095	1	0.132351022765658
"1436"	"Rabgap1"	0.115	1	0.132218582614207
"1437"	"Unc93b1"	0.123	1	0.132201997289709
"1438"	"Ndufb3"	0.126	1	0.132157703483591
"1439"	"Rbbp5"	0.147	1	0.132157703483591
"1440"	"Fam117a"	0.135	1	0.132157703483591
"1441"	"Tspyl2"	0.145	1	0.132157703483591
"1442"	"Med13l"	0.12	1	0.132141214866507
"1443"	"Osbpl5"	0.092	1	0.132082329316174
"1444"	"Slfn2"	0.097	1	0.132060484191761
"1445"	"Reep4"	0.118	1	0.132045760875435
"1446"	"Mrpl45"	0.14	1	0.131992603883345
"1447"	"Dennd4a"	0.138	1	0.131971320592891
"1448"	"Zfand3"	0.122	1	0.131949455241947
"1449"	"Acadvl"	0.1	1	0.131942498489428
"1450"	"Ptges2"	0.13	1	0.131888878627502
"1451"	"Mkks"	0.114	1	0.131809077097275
"1452"	"Zfp280b"	0.104	1	0.13178860806174
"1453"	"Eid1"	0.098	1	0.131661482245317
"1454"	"Tom1"	0.115	1	0.131268210835394
"1455"	"Platr7"	0.135	1	0.13112789592238
"1456"	"Tmem115"	0.097	1	0.131041407424701
"1457"	"Ppap2c"	0.147	1	0.130992941076392
"1458"	"Polr3d"	0.142	1	0.130992941076392
"1459"	"Fam219a"	0.138	1	0.130992941076392
"1460"	"Aox2"	0.26	1	0.130796269952842
"1461"	"Bmpr2"	0.221	1	0.130796269952842
"1462"	"Idh1"	0.244	1	0.130796269952842
"1463"	"Kcnj13"	0.246	1	0.130796269952842
"1464"	"Mtrf1l"	0.241	1	0.130796269952842
"1465"	"4930579H20Rik"	0.239	1	0.130796269952842
"1466"	"Slc16a10"	0.217	1	0.130796269952842
"1467"	"Ccdc138"	0.221	1	0.130796269952842
"1468"	"Palm"	0.245	1	0.130796269952842
"1469"	"4930463O16Rik"	0.235	1	0.130796269952842
"1470"	"Ttc41"	0.254	1	0.130796269952842
"1471"	"Dtx3"	0.238	1	0.130796269952842
"1472"	"Nipsnap1"	0.239	1	0.130796269952842
"1473"	"Tenm2"	0.242	1	0.130796269952842
"1474"	"Gabra1"	0.255	1	0.130796269952842
"1475"	"Il12b"	0.262	1	0.130796269952842
"1476"	"Zkscan17"	0.247	1	0.130796269952842
"1477"	"Slc5a10"	0.24	1	0.130796269952842
"1478"	"Lrrc75a"	0.227	1	0.130796269952842
"1479"	"Plscr3"	0.232	1	0.130796269952842
"1480"	"Eno3"	0.236	1	0.130796269952842
"1481"	"Heatr9"	0.231	1	0.130796269952842
"1482"	"Samd14"	0.244	1	0.130796269952842
"1483"	"E130012A19Rik"	0.245	1	0.130796269952842
"1484"	"Krtap31-1"	0.255	1	0.130796269952842
"1485"	"Ptrf"	0.245	1	0.130796269952842
"1486"	"Mapt"	0.227	1	0.130796269952842
"1487"	"Abca5"	0.218	1	0.130796269952842
"1488"	"Gemin2"	0.234	1	0.130796269952842
"1489"	"Adck1"	0.247	1	0.130796269952842
"1490"	"Cdca7l"	0.251	1	0.130796269952842
"1491"	"Gm10336"	0.241	1	0.130796269952842
"1492"	"Zfp455"	0.226	1	0.130796269952842
"1493"	"Zfp458"	0.232	1	0.130796269952842
"1494"	"Zfp457"	0.241	1	0.130796269952842
"1495"	"Arhgef28"	0.231	1	0.130796269952842
"1496"	"Esm1"	0.252	1	0.130796269952842
"1497"	"A430090L17Rik"	0.255	1	0.130796269952842
"1498"	"Gm17026"	0.248	1	0.130796269952842
"1499"	"Pcdh17"	0.229	1	0.130796269952842
"1500"	"Clybl"	0.222	1	0.130796269952842
"1501"	"Slc1a3"	0.236	1	0.130796269952842
"1502"	"Alg12"	0.238	1	0.130796269952842
"1503"	"Hoxc4"	0.23	1	0.130796269952842
"1504"	"Gm15760"	0.237	1	0.130796269952842
"1505"	"4632428C04Rik"	0.257	1	0.130796269952842
"1506"	"Hes1"	0.242	1	0.130796269952842
"1507"	"Slc12a8"	0.239	1	0.130796269952842
"1508"	"Dcbld2"	0.224	1	0.130796269952842
"1509"	"Smoc2"	0.235	1	0.130796269952842
"1510"	"Dnase1l2"	0.198	1	0.130796269952842
"1511"	"Uhrf1bp1"	0.231	1	0.130796269952842
"1512"	"Dsc3"	0.262	1	0.130796269952842
"1513"	"Pcdhb8"	0.228	1	0.130796269952842
"1514"	"Olfr1484"	0.235	1	0.130796269952842
"1515"	"Aldh1a1"	0.235	1	0.130796269952842
"1516"	"A1cf"	0.22	1	0.130796269952842
"1517"	"Ifit1"	0.242	1	0.130796269952842
"1518"	"Abcc2"	0.258	1	0.130796269952842
"1519"	"Scd3"	0.208	1	0.130796269952842
"1520"	"Tcf7l2"	0.246	1	0.130796269952842
"1521"	"Bbs5"	0.248	1	0.130796269952842
"1522"	"Olfr1030"	0.231	1	0.130796269952842
"1523"	"Slc1a2"	0.236	1	0.130796269952842
"1524"	"C130080G10Rik"	0.256	1	0.130796269952842
"1525"	"Ttbk2"	0.224	1	0.130796269952842
"1526"	"Sstr4"	0.217	1	0.130796269952842
"1527"	"Gm14431"	0.227	1	0.130796269952842
"1528"	"Gm8898"	0.242	1	0.130796269952842
"1529"	"Gm14405"	0.23	1	0.130796269952842
"1530"	"Lrrc34"	0.232	1	0.130796269952842
"1531"	"Lrriq4"	0.218	1	0.130796269952842
"1532"	"Ppm1l"	0.247	1	0.130796269952842
"1533"	"S100a16"	0.235	1	0.130796269952842
"1534"	"Extl2"	0.24	1	0.130796269952842
"1535"	"Egf"	0.226	1	0.130796269952842
"1536"	"Ak5"	0.246	1	0.130796269952842
"1537"	"Tmem67"	0.249	1	0.130796269952842
"1538"	"Pax5"	0.213	1	0.130796269952842
"1539"	"Txndc8"	0.248	1	0.130796269952842
"1540"	"Tnc"	0.23	1	0.130796269952842
"1541"	"Skint3"	0.225	1	0.130796269952842
"1542"	"Kif2c"	0.243	1	0.130796269952842
"1543"	"Fblim1"	0.229	1	0.130796269952842
"1544"	"4930519H02Rik"	0.207	1	0.130796269952842
"1545"	"Lmbr1"	0.231	1	0.130796269952842
"1546"	"4930478P22Rik"	0.237	1	0.130796269952842
"1547"	"Ccdc158"	0.25	1	0.130796269952842
"1548"	"5430416N02Rik"	0.236	1	0.130796269952842
"1549"	"Srrm4os"	0.241	1	0.130796269952842
"1550"	"Fam216a"	0.259	1	0.130796269952842
"1551"	"Mmd2"	0.246	1	0.130796269952842
"1552"	"Gm15401"	0.239	1	0.130796269952842
"1553"	"Ldhb"	0.228	1	0.130796269952842
"1554"	"Zfp784"	0.239	1	0.130796269952842
"1555"	"Vmn2r36"	0.225	1	0.130796269952842
"1556"	"Psg29"	0.237	1	0.130796269952842
"1557"	"Mir6537"	0.246	1	0.130796269952842
"1558"	"Itpkc"	0.223	1	0.130796269952842
"1559"	"Pak4"	0.214	1	0.130796269952842
"1560"	"Gm21276"	0.248	1	0.130796269952842
"1561"	"Gm15880"	0.261	1	0.130796269952842
"1562"	"9130023H24Rik"	0.254	1	0.130796269952842
"1563"	"Muc5b"	0.237	1	0.130796269952842
"1564"	"G630064G18Rik"	0.257	1	0.130796269952842
"1565"	"Ing2"	0.224	1	0.130796269952842
"1566"	"Tmem221"	0.253	1	0.130796269952842
"1567"	"Ucp1"	0.224	1	0.130796269952842
"1568"	"Mir7069"	0.242	1	0.130796269952842
"1569"	"Pdp2"	0.243	1	0.130796269952842
"1570"	"Pard6a"	0.246	1	0.130796269952842
"1571"	"Arv1"	0.233	1	0.130796269952842
"1572"	"4931406C07Rik"	0.242	1	0.130796269952842
"1573"	"Nxpe4"	0.239	1	0.130796269952842
"1574"	"Ccpg1os"	0.233	1	0.130796269952842
"1575"	"Rad54l2"	0.219	1	0.130796269952842
"1576"	"Lrrc2"	0.233	1	0.130796269952842
"1577"	"Exosc7"	0.254	1	0.130796269952842
"1578"	"Syp"	0.24	1	0.130796269952842
"1579"	"Bcor"	0.249	1	0.130796269952842
"1580"	"Jpx"	0.235	1	0.130796269952842
"1581"	"BC065397"	0.22	1	0.130796269952842
"1582"	"Klf6"	0.091	1	0.130698482837855
"1583"	"Hiat1"	0.109	1	0.130621330634919
"1584"	"Arhgap18"	0.115	1	0.130572385286671
"1585"	"Nme7"	0.118	1	0.130364576589458
"1586"	"Fastkd1"	0.116	1	0.130364576589458
"1587"	"Zfp85"	0.132	1	0.130136901151813
"1588"	"Usp42"	0.148	1	0.130130744841205
"1589"	"Prmt2"	0.102	1	0.129882919234935
"1590"	"Samd10"	0.122	1	0.129787436684686
"1591"	"Tmpo"	0.146	1	0.129642745375346
"1592"	"1110034G24Rik"	0.127	1	0.12959819201376
"1593"	"Hjurp"	0.133	1	0.129584513094308
"1594"	"Zfp282"	0.087	1	0.129497509979045
"1595"	"Kdsr"	0.123	1	0.129363269856629
"1596"	"Tor1aip1"	0.092	1	0.129348433664449
"1597"	"Gpr137b-ps"	0.085	1	0.129245484784421
"1598"	"Nqo2"	0.099	1	0.129210549464552
"1599"	"Lcmt2"	0.114	1	0.129076275194958
"1600"	"Hist1h2bj"	0.104	1	0.12901740693645
"1601"	"Cnot4"	0.075	1	0.128993086134296
"1602"	"Ftl1"	0.11	1	0.128982395878059
"1603"	"Rab11fip2"	0.111	1	0.128952565281893
"1604"	"Trim12a"	0.117	1	0.128867437576956
"1605"	"Egr1"	0.114	1	0.128838417184612
"1606"	"Tacc3"	0.136	1	0.128668984203932
"1607"	"Slc7a6os"	0.131	1	0.128609498825931
"1608"	"Rab19"	0.106	1	0.128509177927296
"1609"	"Zswim6"	0.129	1	0.128424430728388
"1610"	"Atg4c"	0.117	1	0.128393663205375
"1611"	"Galm"	0.113	1	0.128374567324294
"1612"	"Gm5416"	0.121	1	0.128323614930915
"1613"	"Nup210"	0.104	1	0.128227720206107
"1614"	"0610040F04Rik"	0.143	1	0.128050224881212
"1615"	"Btbd19"	0.115	1	0.127952730119011
"1616"	"Zfp961"	0.06	1	0.127789993018561
"1617"	"Acss1"	0.114	1	0.127762419320838
"1618"	"Prepl"	0.146	1	0.127698394470341
"1619"	"Dusp6"	0.144	1	0.127639411919089
"1620"	"Ccar2"	0.118	1	0.1276388638362
"1621"	"Tmco1"	0.107	1	0.127632610698598
"1622"	"Fyco1"	0.101	1	0.127549571819796
"1623"	"Bcl2a1a"	0.125	1	0.127527768932769
"1624"	"Usp49"	0.137	1	0.127506180093426
"1625"	"Fam120a"	0.132	1	0.127483793122463
"1626"	"Gtf2h1"	0.126	1	0.127323534849292
"1627"	"9130230L23Rik"	0.124	1	0.127189850244276
"1628"	"Psmc4"	0.14	1	0.127145443592652
"1629"	"Jade2"	0.129	1	0.126992076812616
"1630"	"Sh2b3"	0.133	1	0.12698354144433
"1631"	"Cebpz"	0.142	1	0.126950275938716
"1632"	"Plagl2"	0.145	1	0.126946436826658
"1633"	"Haao"	0.104	1	0.126924856116663
"1634"	"Cobll1"	0.083	1	0.126799645187815
"1635"	"Katna1"	0.139	1	0.126770329394576
"1636"	"Dap3"	0.108	1	0.126677711386126
