"gene.id"	"corr.coef"
"138"	"Plekha3"	0.24300685213277
"139"	"Gng12"	0.242660468724148
"140"	"Tmsb4x"	0.242568900436081
"141"	"Rab8a"	0.24232758926647
"142"	"Ranbp2"	0.242288051838562
"143"	"Dck"	0.242141670744814
"144"	"Slc23a1"	0.241981207346132
"145"	"Mrgpra9"	0.241317327854069
"146"	"Pdcd2"	0.240353545103924
"147"	"H2-Q5"	0.240101919569914
"148"	"Mydgf"	0.23739223730909
"149"	"Zfp398"	0.23739223730909
"150"	"Gdap10"	0.237156319072065
"151"	"Eya1"	0.235901230525736
"152"	"Itm2c"	0.235901230525736
"153"	"Slc26a9"	0.235901230525736
"154"	"Slc19a2"	0.235901230525736
"155"	"Esr1"	0.235901230525736
"156"	"Fbxo5"	0.235901230525736
"157"	"Cenpw"	0.235901230525736
"158"	"Tspan15"	0.235901230525736
"159"	"4930404N11Rik"	0.235901230525736
"160"	"Agap2"	0.235901230525736
"161"	"Fignl1"	0.235901230525736
"162"	"Slc25a35"	0.235901230525736
"163"	"Gpr22"	0.235901230525736
"164"	"Akap5"	0.235901230525736
"165"	"Gm1995"	0.235901230525736
"166"	"Gm7104"	0.235901230525736
"167"	"Hist1h4d"	0.235901230525736
"168"	"Bmp6"	0.235901230525736
"169"	"Gfod1"	0.235901230525736
"170"	"Zfp346"	0.235901230525736
"171"	"Zfp369"	0.235901230525736
"172"	"Zfp708"	0.235901230525736
"173"	"Gm7120"	0.235901230525736
"174"	"Zcchc24"	0.235901230525736
"175"	"4931440J10Rik"	0.235901230525736
"176"	"Mir6539"	0.235901230525736
"177"	"Eppk1"	0.235901230525736
"178"	"BC024139"	0.235901230525736
"179"	"Csrnp2"	0.235901230525736
"180"	"Pla2g10"	0.235901230525736
"181"	"Gp5"	0.235901230525736
"182"	"Nsun3"	0.235901230525736
"183"	"Tiam1"	0.235901230525736
"184"	"Abca17"	0.235901230525736
"185"	"Nme3"	0.235901230525736
"186"	"Lmf1"	0.235901230525736
"187"	"Fance"	0.235901230525736
"188"	"Zfp763"	0.235901230525736
"189"	"Zfp563"	0.235901230525736
"190"	"Tmem63b"	0.235901230525736
"191"	"Unc5cl"	0.235901230525736
"192"	"Kat2b"	0.235901230525736
"193"	"Pcdhgb1"	0.235901230525736
"194"	"Pcdhgb2"	0.235901230525736
"195"	"Ska1"	0.235901230525736
"196"	"Gng3"	0.235901230525736
"197"	"Rorb"	0.235901230525736
"198"	"Mir8092"	0.235901230525736
"199"	"Prkcq"	0.235901230525736
"200"	"Hoxd4"	0.235901230525736
"201"	"Cerkl"	0.235901230525736
"202"	"Tmx4"	0.235901230525736
"203"	"Tldc2"	0.235901230525736
"204"	"Dbndd2"	0.235901230525736
"205"	"Gm14322"	0.235901230525736
"206"	"Uckl1os"	0.235901230525736
"207"	"Mccc1os"	0.235901230525736
"208"	"Wwtr1"	0.235901230525736
"209"	"Gstcd"	0.235901230525736
"210"	"2410004B18Rik"	0.235901230525736
"211"	"Tyw3"	0.235901230525736
"212"	"Svep1"	0.235901230525736
"213"	"Ccdc171"	0.235901230525736
"214"	"Haus6"	0.235901230525736
"215"	"Apitd1"	0.235901230525736
"216"	"Tmem201"	0.235901230525736
"217"	"Gm15421"	0.235901230525736
"218"	"Mir3471-1"	0.235901230525736
"219"	"Gm10390"	0.235901230525736
"220"	"P2rx7"	0.235901230525736
"221"	"Vps37d"	0.235901230525736
"222"	"Snrnp27"	0.235901230525736
"223"	"Prok2"	0.235901230525736
"224"	"9530062K07Rik"	0.235901230525736
"225"	"1190002F15Rik"	0.235901230525736
"226"	"Kcnn4"	0.235901230525736
"227"	"Mrps12"	0.235901230525736
"228"	"Mrgpra4"	0.235901230525736
"229"	"Usp35"	0.235901230525736
"230"	"Eef2k"	0.235901230525736
"231"	"Tbx6"	0.235901230525736
"232"	"Doc2a"	0.235901230525736
"233"	"Slc5a2"	0.235901230525736
"234"	"Mrgprd"	0.235901230525736
"235"	"Defb38"	0.235901230525736
"236"	"Nek1"	0.235901230525736
"237"	"Gtpbp3"	0.235901230525736
"238"	"Acsf3"	0.235901230525736
"239"	"Kbtbd3"	0.235901230525736
"240"	"Olfr921"	0.235901230525736
"241"	"Mir6385"	0.235901230525736
"242"	"Kif23"	0.235901230525736
"243"	"Ctdspl"	0.235901230525736
"244"	"Gm21950"	0.235901230525736
"245"	"Gm14346"	0.235901230525736
"246"	"Gm3701"	0.235901230525736
"247"	"Gm14345"	0.235901230525736
"248"	"Gm3750"	0.235901230525736
"249"	"Gm3706"	0.235901230525736
"250"	"Gm14351"	0.235901230525736
"251"	"Gm2913"	0.235901230525736
"252"	"Gm14347"	0.235901230525736
"253"	"Gm10921"	0.235901230525736
"254"	"Gm10922"	0.235901230525736
"255"	"Gm5925"	0.235901230525736
"256"	"Gm3763"	0.235901230525736
"257"	"Xk"	0.235901230525736
"258"	"Zfp300"	0.235901230525736
"259"	"Gm2799"	0.235901230525736
"260"	"Gm21951"	0.235901230525736
"261"	"Gm2825"	0.235901230525736
"262"	"Gm2863"	0.235901230525736
"263"	"Gm2933"	0.235901230525736
"264"	"Xlr3b"	0.235901230525736
"265"	"Xlr3c"	0.235901230525736
"266"	"Apoo"	0.235901230525736
"267"	"Gm6568"	0.235901230525736
"268"	"Cfl1"	0.235553106151067
"269"	"6430706D22Rik"	0.235413595537111
"270"	"Rnft1"	0.234871896007066
"271"	"Abcc9"	0.234738140200294
"272"	"Atad5"	0.234466471116435
"273"	"Ctsd"	0.234191937085296
"274"	"Cirh1a"	0.233625432709516
"275"	"Itgb4"	0.233624594069891
"276"	"Mrpl36"	0.233325750542788
"277"	"Zfp62"	0.233239234600344
"278"	"Slc43a3"	0.23265941486724
"279"	"Tfdp1"	0.232262989979529
"280"	"Brd1"	0.231786544248179
"281"	"Cyb5b"	0.231396398302086
"282"	"Ppp1r9b"	0.231379899716732
"283"	"D17H6S53E"	0.231362194348741
"284"	"Ehd1"	0.231091690832666
"285"	"Rmnd5a"	0.230879625585342
"286"	"Pik3r2"	0.230224685643116
"287"	"Rapgef4"	0.229931708924449
"288"	"Slc7a1"	0.228849535584421
"289"	"Rars"	0.227719920863178
"290"	"Slc25a36"	0.227575044909659
"291"	"Zfp51"	0.227445562727297
"292"	"Fbxo28"	0.227117994948004
"293"	"Cfdp1"	0.226706768963089
"294"	"Inpp5b"	0.225753260363874
"295"	"Ripk2"	0.225164191149677
"296"	"Nt5dc2"	0.224608716818026
"297"	"Pofut2"	0.224171011291872
"298"	"Yif1a"	0.223782232181437
"299"	"Arhgef37"	0.223729376193984
"300"	"Mir5132"	0.22356592429274
"301"	"Ahcyl1"	0.223423965291317
"302"	"Mrps35"	0.222463289762415
"303"	"Tprgl"	0.222103535161484
"304"	"Nampt"	0.221193274790508
"305"	"Itgb2"	0.22110706181436
"306"	"Acot1"	0.220966926749428
"307"	"Zfp703"	0.220595976862871
"308"	"Tbc1d17"	0.220572555745712
"309"	"Sdc4"	0.220146686920599
"310"	"Atf4"	0.220084494088491
"311"	"1810030O07Rik"	0.219649647146332
"312"	"Gdpgp1"	0.219583394990757
"313"	"Ubc"	0.219203331190104
"314"	"Snrpe"	0.218960129662761
"315"	"Sgsh"	0.218945708754466
"316"	"Hyal2"	0.218919969236387
"317"	"Thoc3"	0.218724226068353
"318"	"4930414N06Rik"	0.218705054704114
"319"	"Ppp1r12b"	0.218321822740648
"320"	"Ankrd9"	0.21790402766311
"321"	"Gadd45g"	0.217627864152738
"322"	"Eid3"	0.217552583904476
"323"	"Nsl1"	0.217091594606061
"324"	"Tubb5"	0.216931573921315
"325"	"Gm16523"	0.215894640796674
"326"	"Cd86"	0.215814227580115
"327"	"Klf10"	0.215730999601847
"328"	"Spryd7"	0.21567070302813
"329"	"Arhgdia"	0.21547989800424
"330"	"Eif2b4"	0.215280559359967
"331"	"Angpt1"	0.215115616166359
"332"	"Hspa2"	0.21509810297433
"333"	"Xrn2"	0.214965044616249
"334"	"Kalrn"	0.214839273478328
"335"	"Treml4"	0.214665793273325
"336"	"Ffar2"	0.214527950675579
"337"	"Glyat"	0.214327502410433
"338"	"Txnrd1"	0.214238225789884
"339"	"Ccdc23"	0.213904909782832
"340"	"Fam216a"	0.213839363685835
"341"	"Acox1"	0.213732911816629
"342"	"Slc5a3"	0.213406271303686
"343"	"Kif16b"	0.213406271303686
"344"	"Dgat2"	0.213179043908603
"345"	"Aak1"	0.213139146096289
"346"	"Cdk9"	0.213127020299049
"347"	"Il4ra"	0.212671366343685
"348"	"Ifit2"	0.212467461875348
"349"	"Spice1"	0.212170044861508
"350"	"Pik3r1"	0.211566184198882
"351"	"Wipf2"	0.211471278946604
"352"	"Sec13"	0.211460312344647
"353"	"Aatf"	0.211319186180661
"354"	"Hdgfrp2"	0.211046716010702
"355"	"Atxn7"	0.20983715273817
"356"	"Gm1821"	0.209820362424386
"357"	"Emc6"	0.209187382941961
"358"	"Papd5"	0.209182305236815
"359"	"Anp32a"	0.209134351410009
"360"	"Rhoc"	0.208504784502347
"361"	"Ndufa10"	0.20840347970548
"362"	"Arl16"	0.208300770883517
"363"	"Mir8098"	0.208137508821129
"364"	"Usp18"	0.208137508821129
"365"	"Zfp94"	0.208137508821129
"366"	"Map2k3"	0.207454407288667
"367"	"Ubb"	0.207260734733868
"368"	"Psmd5"	0.207085529136802
"369"	"Fh1"	0.206549267667357
